N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
VLID_11,Crime 2,135.83975931,0,,4,1,2,13,12.396782901,2,2,110.7398568,3,No,0,11.111111111,0,0.0543478261,,62.50000625,0,2,3,322.22477956,0,15.428043542,0,1,1,23.255725107,0.5855683108,1.584787362,No,,0,0,93.379151073,54.765481556,51.712992889,19
VLID_12,Crime 2,,,,7,0,2,1,83.80876574,2,3,,1,No,,0,,,,144.0000144,,0,12,,0,,,,,,,0,No,,3,,,,,2
VLID_13,Crime 2,23.690226597,,,1,0,11,0,37.551069245,1,0,124.10501193,0,No,0,0,0,,,128.0000128,,3,4,,0,3.7754805741,0,0,0,9.1117488145,,285.657922,No,,1,0,11.185464461,,6.0838815164,3
VLID_14,Crime 2,1531.3836277,0,,0,0,2,1,10.61745217,1,3,226.25298329,5,No,0,11.111111111,0,0.0027173913,,360.000036,0,0,5,354.2885261,1,125.76991268,,1,4,6.6787849664,0.8326682098,482.10552208,Yes,,3,0,232.22359799,54.251377066,562.75904027,0
VLID_15,Crime 2,,,,3,0,3,1,52.097138795,1,1,,2,Yes,,0,,,,24.0000024,,2,14,,0,,,,,,,0,No,,2,,,,,2
VLID_16,Crime 2,144.6525236,2,,5,0,5,2,36.327979428,3,1,84.009546539,10,No,0,16.666666667,0,0.0434782609,34.210917745,168.0000168,0,3,6,317.14537417,0,43.374125666,0,1,0,23.299903511,0.9892434168,92.577995062,No,30.321164971,1,1,143.4633203,55.483224837,106.46792654,12
VLID_17,Crime 2,,,,2,2,4,0,118.40895519,1,1,36.276849642,10,No,0,0,0,0.027173913,,180.000018,1,1,1,,0,0,,0,0,,,24.498171304,Yes,,0,0,,,0,6
VLID_18,Crime 2,,,,7,,7,4,48.060994326,2,3,,3,No,2,,0,,,68.0000068,,1,1,,,97.058699943,,,,,,,Yes,,2,,,,348.30221681,
VLID_19,Crime 2,,,,0,,2,1,20.410098307,4,4,,6,No,,,,,,67.20000672,,1,9,,,,,,,,,,No,,1,,,,,25
VLID_20,Crime 2,1561.1859327,0,,2,0,5,4,79.615313277,1,2,273.98568019,10,No,0,5.5555555556,0,0.0173913043,4.9002594741,160.000016,0,3,6,362.8600227,30,85.719715095,0,0,2,22.252732799,3.8259238567,771.36223204,No,7.00992235,3,0,533.50770044,54.93444248,255.52302369,0
VLID_21,Crime 2,87.653838409,0,,2,0,2,1,6.6734107573,1,1,254.89260143,7,No,1,5.5555555556,0,0.0120772947,25.193366057,120.000012,0,0,0,322.85970524,30,75.471982108,0,0,3,16.540934701,5.0398076463,303.65186184,No,23.589576193,1,0,562.22262413,54.987481222,126.24054147,12
VLID_22,Crime 1,,0,,5,0,5,5,147.99398238,5,3,117.42243437,4,No,,11.111111111,,0.0217391304,17.463794572,176.0000176,0,2,0,317.14537417,0,,0,0,1,21.713344446,0.2121005194,18.225054663,No,0,2,0,31.942570153,55.466533133,,66
VLID_23,Crime 2,37.762221196,,,1,1,6,6,99.093669846,0,2,91.646778043,3,No,,0,,,,120.000012,,1,3,,0,,,0,0,,,0,No,,2,0,,,,16
VLID_24,Crime 1,3653.6488872,1,2735.223186,5,0,0,10,14.703753006,1,3,285.44152745,2,No,1,11.111111111,0,0.0081521739,,800.00008,0,1,2,317.14537417,30,279.83711498,0,2,5,22.369971082,7.2482317215,658.08295206,No,,2,0,4245.0785348,55.233650476,1806.9128104,1
VLID_25,Crime 2,94.239721403,0,,8,0,5,4,118.19877657,0,1,171.83770883,7,No,,5.5555555556,,0.0217391304,,19.996002,0,2,5,,30,,,0,,,2.6460380036,8.6172812808,No,50.118113956,2,,110.686014,55.267111193,,3
VLID_26,Crime 2,,0,,1,,1,3,67.975584521,5,3,297.85202864,3,No,0,0,933.33333333,0,,140.000014,0,3,4,1426.9954523,30,155.28388541,,,4,,0.0017736629,0,No,,4,,0.2225963077,50.030760426,0,
VLID_27,Crime 2,5324.520569,0,,6,0,1,1,13.46288486,0,0,343.67541766,3,No,0,0,15360,0.0081521739,,1800.00018,0,1,10,3079.0720561,30,188.28484684,0,2,7,1.1449535393,0.1518216867,3100.2402769,No,,2,1,194.77176922,51.384576865,0,1
VLID_28,Crime 2,14.214135958,0,2656.440202,2,0,2,5,210.16496438,0,2,205.25059666,1,No,0,0,0,0.0217391304,,240.000024,0,1,7,,0,0,,0,,,0,105.88360562,No,0,1,,0,50.025037556,0,0
VLID_29,Crime 1,719.5195622,0,,2,0,2,6,87.579414224,1,2,198.56801909,4,No,1,38.888888889,133.33333333,0.015942029,,256.0000256,0,4,4,325.71687077,0,122.80973522,0,7,1,15.465056228,1.3943327157,141.27719004,No,4.7616737024,2,1,301.72929507,54.865631781,369.59580212,11
VLID_30,Crime 1,4285.7515132,1,,2,0,1,5,8.9029103705,1,1,270.16706444,3,No,1,38.888888889,0,0.0057971014,25.289811729,382.56003826,0,3,0,380.0030159,30,189.15032245,0,5,9,21.247792321,9.7139271498,932.11910007,No,46.970914297,5,1,2954.4651428,56.190167604,2065.4777748,1
VLID_31,Crime 1,104.23699703,0,,4,0,1,1,131.55900886,2,3,182.33890215,5,No,0,16.666666667,0,0.027173913,30.120481928,180.000018,0,0,1,326.35179644,0,4.7162149365,1,2,1,20.425921815,0.5888157656,38.067913091,No,,3,0,90.318451843,54.74211317,0,20
VLID_32,Crime 1,,,,1,1,2,4,3.5968408605,1,2,,7,No,,0,,,,80.000008,,2,3,,0,,,,,,,0,No,,2,,,,,14
VLID_33,Crime 1,1545.2661005,0,,1,0,3,8,123.84837103,3,3,161.33651551,2,No,0,0,1333.3333333,0.0144927536,8.7416331995,392.0000392,0,2,10,317.14537417,0,1112.0734475,0,2,2,19.763728593,8.1091497356,528.26245399,No,,1,0,2442.4936351,56.627941913,4739.3437013,3
VLID_34,Crime 2,23.690226597,0,,4,1,2,6,49.534938282,1,2,81.145584726,5,Yes,,0,,0.1304347826,,200.00002,0,2,4,,0,,,0,1,,,0,No,,0,0,0,,,5
VLID_35,Crime 2,104.23699703,0,,1,0,5,0,118.61969951,2,1,137.47016706,4,No,0,5.5555555556,0,0,,200.00002,0,2,1,,0,0,,0,1,,0.7056961183,576.63148494,No,,1,0,118.08734123,54.855009787,0,0
VLID_36,Crime 1,1612.1199199,0,2998.8057239,2,0,5,3,56.97831728,0,2,294.03341289,2,No,,11.111111111,,0.0108695652,,652.0000652,0,4,10,400.6381003,30,,,1,5,21.077206205,1.6066771333,1670.6960436,No,,1,0,775.19164151,54.856952095,,0
VLID_37,Crime 2,,,,0,0,2,0,16.849848969,1,3,,5,No,,0,,,,144.0000144,,1,7,,0,,,,,,,0,No,,3,,,,,14
VLID_38,Crime 1,,,,3,1,6,0,147.08056078,1,1,,3,No,0,0,0,,,300.00003,,0,16,,0,0,,0,1,,,0,No,,1,0,,,0,7
VLID_39,Crime 2,728.47446786,0,,2,0,2,7,10.206547474,0,2,284.48687351,0,No,0,0,0,0.0108695652,13.746343398,360.000036,0,4,1,755.56155208,1,35.835707642,0,2,1,8.4730862153,0.6474978051,714.04575578,No,21.597180664,2,1,180.58125461,52.566349524,63.880755922,2
VLID_40,Crime 1,,,,0,0,1,5,104.57051582,2,1,42.959427208,9,No,,0,,,,140.000014,,3,5,,0,,,,,,,0,No,,1,,,,,16
VLID_41,Crime 2,156.35549554,,2512.7519074,1,0,0,7,145.76296146,0,0,154.65393795,0,No,0,0,0,0.0217391304,,800.00008,0,3,2,,0,0,,1,3,,,802.79384805,No,,2,0,,,0,1
VLID_42,Crime 2,,,,1,0,0,3,57.258388173,3,2,90.692124105,1,No,0,0,0,0.0217391304,,80.000008,0,1,14,,0,0,,0,,,,0,Yes,,2,,,,0,4
VLID_43,Crime 1,1241.0362105,,,2,0,1,8,106.99720008,4,4,151.78997613,3,No,0,0,0,0.0260869565,,288.0000288,0,2,1,,0,35.497043272,,5,2,,,0,Yes,,0,0,0,,0,2
VLID_44,Crime 2,23.690226597,0,,2,0,2,7,78.311271489,3,7,135.56085919,4,No,0,0,80,0.0217391304,32.567776438,220.000022,0,0,2,317.14537417,0,5.719664923,0,0,1,22.087268624,2.3342767855,6.9334447087,No,,1,0,423.15558091,55.032548823,0,1
VLID_45,Crime 2,,,,0,0,4,7,92.586311959,0,1,156.56324582,5,No,,0,,0.0217391304,,68.0000068,0,1,14,,0,,,,0,,,88.715075868,No,,1,,,,,10
VLID_46,Crime 2,,,,1,0,4,2,17.874219463,0,1,70.644391408,1,No,,0,,,,5.60000056,,1,2,,0,,,,,,,0,No,,2,,,,,10
VLID_47,Crime 2,,,,7,,12,2,160.81052806,0,4,,7,Yes,,,,,,184.0000184,,3,3,,,,,,,,,,No,,4,,,,,
VLID_48,Crime 1,,0,,1,,8,8,62.072477535,0,6,,3,No,,5.5555555556,,0.0217391304,35.47523427,175.60001756,0,0,7,317.14537417,30,,0,,0,24.060997478,0.0981026431,0,No,,1,,14.747005384,55.332999499,,
VLID_49,Crime 2,,,,4,,12,4,86.365511862,3,8,,7,No,,,,,,48.0000048,,0,5,,,,,,,,,,Yes,,1,,,,,
VLID_50,Crime 2,1210.5705791,0,,1,0,5,3,74.471692891,2,1,274.94033413,7,No,0,0,1333.3333333,0.0186335404,,160.000016,0,2,4,555.24250192,30,251.51473911,0,1,0,14.964570158,1.3967595179,549.72311619,No,1.4841412328,1,2,194.77176922,53.328069027,0,10
VLID_51,Crime 2,4150.5276998,0,,4,0,1,0,44.554906603,3,3,307.39856802,10,No,0,0,2720,0.0144927536,,130.000013,0,2,5,3393.3602648,30,207.80194908,,1,2,1.2397962548,0.9174010413,1157.0928727,No,0,1,0,108.7382963,50.314271407,0,39
VLID_52,Crime 1,,,,2,0,4,3,101.68463557,0,5,69.68973747,6,Yes,0,0,0,0.1086956522,,400.00004,0,1,15,,0,0,,0,2,,,8.02298602,No,,1,0,,,0,8
VLID_53,Crime 1,37.904362555,0,,3,0,1,6,93.169634991,1,7,308.35322196,3,No,0,0,0,0.0108695652,,52.0000052,0,0,8,571.11564377,30,0,0,0,1,,0,26.4131227,No,,1,0,0,50.025037556,0,0
VLID_54,Crime 1,132.66526894,0,,1,0,1,1,29.097525931,3,1,219.57040573,0,No,0,11.111111111,0,0.018115942,0,257.08802571,0,0,4,318.41522552,0,4.5531543137,0,0,0,22.365793924,0.3441498704,126.15567729,Yes,,1,0,71.286467536,55.012518778,41.066200236,1
VLID_55,Crime 2,543.02737406,0,,2,0,0,1,44.146558069,2,1,324.5823389,2,No,0,0,426.66666667,0.0054347826,7.3187486789,120.000012,0,0,16,793.33962968,0,19.379127864,0,2,5,4.9469565335,0.6754329955,374.60411269,No,,3,0,75.348850151,51.120101204,21.293585307,
VLID_56,Crime 2,322.18708172,0,2867.4062611,0,0,6,2,12.301965656,0,3,324.5823389,2,No,0,0,0,0.0120772947,4.7523427041,400.00004,0,3,6,475.87679267,0,182.77841504,0,0,1,4.6173372702,0.6853191505,2002.0156514,Yes,,1,0,210.24221261,51.283078464,1969.6566409,4
VLID_57,Crime 2,,,,3,0,9,2,56.502997212,2,3,,12,No,,0,,,,100.00001,,0,2,,0,,,,,,,0,No,,0,,,,,18
VLID_58,Crime 2,1607.2871137,1,,1,0,7,8,187.81490736,0,2,176.61097852,3,No,3,44.444444444,200,0.0033967391,,208.0000208,0,4,6,317.46283701,0,459.70552506,,8,3,13.434970578,3.3873027479,729.95966221,No,24.510435547,0,3,585.70653459,55.329290232,0,2
VLID_59,Crime 1,59.225566493,0,,1,0,3,0,181.40722069,1,3,198.56801909,7,No,0,5.5555555556,0,0.0155279503,10.987345609,120.000012,0,0,1,,0,25.412370908,,0,,,0.4339931359,64.249920967,Yes,15.717624742,1,,48.414696921,54.131196795,197.72614928,11
VLID_60,Crime 1,,,,6,,9,5,177.71167059,1,3,,5,No,,,,,,134.40001344,,2,3,,,,,,,,,,Yes,,4,,,,,
VLID_61,Crime 2,1725.2644422,0,,5,0,0,5,70.040897985,1,3,52.505966587,5,No,2,5.5555555556,0,0.0072463768,,180.000018,0,2,7,2776.8474353,0,49.332109961,,2,3,26.408650511,8.876497435,722.16779101,No,,2,0,1400.4090207,0,182.51644549,5
VLID_62,Crime 2,1410.9425157,0,,2,0,1,7,29.871437888,4,2,259.66587112,1,No,0,0,0,0.0018115942,,900.00009,0,1,10,317.14537417,0,0,,3,3,22.697844105,3.5495522728,436.90606586,Yes,,2,0,2326.3540116,55.032548823,0,0
VLID_63,Crime 2,14.214135958,0,,1,0,4,5,43.425603576,0,5,229.11694511,3,Yes,0,0,0,0.0163043478,0,240.000024,0,1,4,564.13146136,30,55.440611753,0,0,0,21.187112873,3.1133484601,49.920801902,No,0,1,,607.79921813,54.699570724,596.22038861,12
VLID_64,Crime 1,130.34362674,0,,8,0,4,7,35.495863164,2,1,165.15513126,2,No,0,5.5555555556,146.93333333,0.0217391304,,300.00003,0,2,8,360.00285717,0,38.657910729,0,1,1,13.308213898,0.2549379557,239.79813771,No,,3,0,60.434897536,54.356534802,51.712992889,4
VLID_65,Crime 2,,,,4,0,3,3,94.641241746,1,3,152.74463007,1,No,0,0,0,0.0434782609,,1600.00016,0,1,4,,0,0,,0,1,,,77.324416703,No,,0,0,,,0,2
VLID_66,Crime 2,45.011430534,0,,3,0,1,1,137.43705367,1,1,192.84009547,0,Yes,0,0,0,0.0217391304,3.4954633348,140.000014,0,0,12,344.12971532,0,22.928832191,1,0,0,10.238143971,0.2110658827,30.507156718,No,5.0003324689,1,0,26.488960614,52.904356535,142.97121564,24
VLID_67,Crime 2,56.856543833,0,,1,0,1,1,181.74753653,3,6,237.70883055,3,Yes,0,0,0,0.0217391304,,240.000024,0,1,5,463.81320487,30,12.079029212,0,0,0,13.950943291,0.2103690866,54.741196795,No,,1,0,41.069018768,53.104656985,0,4
VLID_68,Crime 1,,,,1,,1,5,85.547922163,1,3,,10,No,,,,,,120.000012,,4,21,,,,,,,,,,No,,0,,,,,1
VLID_69,Crime 1,1306.5159968,0,,4,0,2,8,40.059703801,1,1,276.849642,3,No,0,0,1066.6666667,0.0144927536,1.1904761905,800.00008,0,3,1,359.36793149,29,226.00202321,0,2,1,6.0250837001,0.7754390766,2080.3305602,No,0,0,2,454.15211675,54.366549825,0,15
VLID_70,Crime 2,13.456048707,0,,1,0,5,0,102.68999496,1,1,217.66109785,2,No,0,5.5555555556,0,0.0173913043,9.7426744013,160.000016,0,2,3,,30,0,,0,,,0.1568361402,40.973356588,No,13.937096881,2,,21.87008723,54.491737606,0,45
VLID_71,Crime 2,428.79310141,0,2728.825421,3,0,3,2,84.855348595,1,7,225.29832936,1,No,1,22.222222222,0,0.0096618357,,152.40001524,0,1,14,363.17748554,30,30.279103342,0,1,2,20.027236098,3.6020382816,840.36651509,No,43.566726511,4,1,483.2009349,54.825094785,159.70188981,0
VLID_72,Crime 2,16.298875899,0,,2,2,1,9,15.471305001,2,2,117.42243437,8,No,0,5.5555555556,0,0.0760869565,,140.000014,0,1,0,317.14537417,0,3.4995318279,0,0,0,26.029996796,0.1525350077,0,Yes,,1,0,19.143282461,55.766983809,38.024259478,22
VLID_73,Crime 2,,,,2,0,3,1,15.774800615,1,1,81.145584726,0,No,,0,,,,50.000005,,0,2,,0,,,,,,,0,No,,2,,,,,
VLID_74,Crime 1,,,,6,3,6,1,97.591561423,1,3,134.60620525,5,No,0,0,0,0.052173913,,140.000014,0,1,8,,0,0,,0,,,,0,Yes,,1,,,,0,24
VLID_75,Crime 2,1278.9879535,1,2379.1887713,10,0,3,4,75.220911332,2,3,147.01670644,3,No,0,22.222222222,0,0.0120772947,36.613119143,160.000016,0,1,3,317.14537417,0,27.331469007,0,1,1,20.979702873,3.3458376566,485.01096557,No,0.4787552364,1,1,531.28173736,55.983975964,114.07277843,12
VLID_76,Crime 1,23.690226597,,,6,0,4,1,140.3899787,0,0,147.97136038,4,No,0,0,0,0.0108695652,,81.60000816,0,6,3,,0,0,,0,1,,,70.423988398,No,,0,0,,,0,1
VLID_77,Crime 2,65.148123142,0,,5,3,2,5,30.557277851,4,1,132.69689737,5,No,0,16.666666667,40,0.0326086957,,180.000018,0,1,5,,0,38.319246359,,1,1,,0.1443922826,170.46369062,Yes,0,1,0,36.171899999,55.107661492,60.838815164,0
VLID_78,Crime 1,,0,,0,,2,2,106.15858618,1,3,,0,No,,5.5555555556,,0.0217391304,26.725951425,100.00001,0,2,3,361.90763419,30,,0,,0,18.121543493,0.3186892125,4.6553128758,No,,2,,31.107833999,54.023892982,,9
VLID_79,Crime 2,,,,5,0,4,2,30.179296808,0,4,,3,No,,0,,,,72.960007296,,2,0,,0,,,,,,,0,No,,0,,,,,1
VLID_80,Crime 1,,,,2,0,2,6,22.772514333,1,1,97.374701671,8,No,0,0,0,0.0434782609,,208.0000208,0,3,4,,0,0,,0,1,,,237.81715351,No,,1,0,,,0,3
VLID_81,Crime 2,164.31541168,2,,0,0,10,4,5.576224329,2,7,188.06682578,5,No,0,22.222222222,0,0.0217391304,36.813922356,152.0000152,0,3,10,317.14537417,0,22.088442827,0,1,0,25.449506484,0.822674728,195.82028841,No,42.609216038,1,0,123.15140723,55.650141879,56.275904027,16
VLID_82,Crime 1,14.214135958,0,,1,0,0,3,67.595326151,0,1,60.143198091,0,No,,5.5555555556,,0.1304347826,21.363230701,80.000008,0,3,12,317.14537417,0,,0,0,1,14.481058492,0.2547423311,7.230592339,No,,1,0,21.313596461,55.065932232,,32
VLID_83,Crime 2,,,,1,,3,1,111.34842204,0,2,,4,Yes,,,,,,134.24001342,,0,1,,,,,,,,,,No,,3,,,,,
VLID_84,Crime 2,,,,4,3,4,0,31.31286188,1,1,20.047732697,9,No,,0,,0.2826086957,,10.000001,0,0,1,,0,,,,,,,0,No,,0,,,,,7
VLID_85,Crime 2,23.690226597,0,,0,0,5,3,119.68403436,1,2,252.02863962,3,Yes,0,0,0,0.0217391304,8.9022757697,128.0000128,0,1,2,433.65423535,30,0,0,0,0,6.0219345009,0.0631867401,23.738794026,No,,1,0,7.4013272305,51.357035553,0,3
VLID_86,Crime 2,415.14753089,0,,2,0,2,2,134.89195578,0,5,187.11217184,4,No,0,22.222222222,66.666666667,0.018115942,15.394912985,10.000001,0,0,18,317.14537417,2,28.096599622,0,1,2,22.476477318,8.9504349908,104.16675265,No,0,2,1,312.0243743,55.092638958,19.772614928,8
VLID_87,Crime 2,7.6282529642,0,,2,0,5,15,39.045075415,1,3,168.01909308,9,No,0,5.5555555556,0,0.0230179028,18.183846497,2720.000272,0,4,10,360.63778284,0,0,0,0,0,15.94614446,0.0047137019,8.815379701,Yes,,0,0,18.030300922,52.745785345,0,19
VLID_88,Crime 1,157.54000687,1,,1,0,0,2,87.258138641,5,1,200.47732697,3,Yes,1,16.666666667,0,0.0096618357,,120.000012,0,4,8,317.14537417,30,21.825037206,0,0,0,15.859358014,1.3234296432,27.865844448,Yes,46.218293974,2,0,147.63700107,55.117676515,66.92269668,0
VLID_89,Crime 1,70.028309821,,,2,0,1,1,95.10679411,1,0,102.14797136,6,No,0,0,0,0,,22.0000022,0,2,1,,0,0,,0,1,,,33.643715039,No,,1,0,,,0,5
VLID_90,Crime 2,192.31725951,0,2376.6235596,2,2,2,1,55.868873792,0,2,142.24343675,12,No,0,5.5555555556,0,0.0102974828,,280.000028,0,2,16,,0,38.206358235,,2,2,,0.372884907,228.73764258,Yes,,2,0,83.195369997,54.53518115,0,0
VLID_91,Crime 2,458.07422148,0,,4,0,3,5,28.733401606,2,3,188.06682578,3,No,0,16.666666667,96,0.0169082126,,68.0000068,0,2,11,317.14537417,0,80.677378913,,1,1,22.879597888,3.8599338424,219.95527928,Yes,28.788865763,1,0,290.65512876,55.072608913,603.8252405,3
VLID_92,Crime 2,399.22769861,0,,3,0,2,2,242.51352614,3,1,200.47732697,7,No,0,16.666666667,400,0.009057971,20.119694464,144.0000144,0,0,12,326.35179644,0,27.08060651,0,3,1,14.90391269,0.9430295627,142.99404302,No,6.7394006353,1,1,121.0367423,54.901248799,0,5
VLID_93,Crime 2,271.86904043,0,,1,0,1,8,106.44093476,1,4,129.83293556,9,No,0,0,0,0,,37.60000376,0,0,2,,0,0,,0,1,,,0,No,,3,0,0,,0,7
VLID_94,Crime 1,,,,3,,5,0,29.737174384,0,3,,0,No,,,,,,100.00001,,1,7,,,,,,,,,,Yes,,2,,,,,
VLID_95,Crime 2,,,,1,0,7,1,47.697513679,3,1,93.556085919,8,No,0,0,0,,,98.0000098,,1,7,,0,0,,0,,,,0,No,,3,,,,0,0
VLID_96,Crime 1,2436.4924251,0,2474.2216301,2,0,2,0,98.726872047,1,5,234.84486874,3,No,1,11.111111111,0,0.0072463768,,500.00005,0,4,7,516.19457297,0,252.90702597,0,2,3,17.989634198,4.1948605162,2802.9605809,No,0,0,1,1579.3764521,54.566781679,1715.6545876,1
VLID_97,Crime 1,711.74916788,3,,2,0,4,4,80.666042193,0,1,141.28878282,7,No,0,27.777777778,61.333333333,0.0130434783,28.255880666,152.0000152,0,0,11,317.14537417,0,85.293248851,0,1,3,19.766510224,4.8566492404,106.94013053,No,52.639891729,3,0,650.14816567,55.853477185,281.37952013,4
VLID_98,Crime 1,,,,6,0,0,2,78.484441941,5,4,69.68973747,6,No,0,0,0,0.1304347826,,14.80000148,0,2,17,,0,0,,,,,,0,Yes,,3,,,,0,5
VLID_99,Crime 1,,,,0,,0,0,20.647132923,1,3,,6,No,0,,0,,,116.0000116,,2,2,,,0,,,,,,,Yes,,1,,,,0,
VLID_100,Crime 2,235.95465691,,,4,0,2,4,169.58797041,2,0,82.100238663,4,No,0,0,0,,,600.00006,,3,5,,0,15.051749797,,1,2,,,0,No,,1,0,,,0,2
VLID_101,Crime 1,,,,10,0,12,5,52.317378278,0,2,243.43675418,4,No,0,0,0,0,,60.000006,0,3,2,,30,0,,,,,,0,Yes,,0,,,,0,
VLID_102,Crime 1,37.904362555,0,2379.416811,4,0,2,2,140.9745375,1,4,190.93078759,10,No,0,5.5555555556,0,0.0217391304,16.39892905,408.0000408,0,1,1,339.6852356,0,18.20007413,0,0,0,19.471714454,0.1026190666,171.05798588,No,23.459006583,0,0,32.053868306,54.321482223,448.68626184,20
VLID_103,Crime 2,47.380453194,0,,2,0,1,7,10.113632795,1,3,272.07637232,2,No,0,0,266.66666667,0.0144927536,2.2556894244,96.0000096,0,6,6,602.86192748,30,75.635042731,0,0,4,3.1326161315,6.760198692,183.67025197,No,,1,0,641.02171705,50.74596305,77.569489334,4
VLID_104,Crime 2,156.11859327,1,,6,0,8,2,53.936665951,1,5,,1,No,0,16.666666667,0,0.0217391304,35.151358121,52.0000052,0,7,1,317.14537417,0,0,1,0,0,23.841134031,2.8247509257,1.2876397316,No,,1,0,181.19339445,57.302620598,170.34868246,5
VLID_105,Crime 2,,,,2,0,6,2,7.4478029596,1,4,82.100238663,5,No,,0,,0.1304347826,,140.000014,0,5,6,,0,,,,,,,0,Yes,,2,,,,,1
VLID_106,Crime 1,,,,8,,2,1,38.169080381,1,2,,0,No,,,,,,103.21201032,,2,7,,,,,,,,,,Yes,,2,,,,,
VLID_107,Crime 1,,,,4,1,0,7,7.7428863136,2,7,28.639618138,6,No,,0,,,,140.000014,,2,19,,0,,0,0,0,,,0,No,,3,0,,,,11
VLID_108,Crime 2,,,,2,,0,2,11.561974829,2,1,,3,No,,,,,,44.980004498,,0,4,,,,,,,,,,No,,1,,,,,16
VLID_109,Crime 2,2261.469031,0,,0,0,1,4,82.523679041,1,2,192.84009547,5,No,0,0,0,0.0108695652,,152.0000152,0,0,1,358.41554298,0,269.90296011,0,2,3,,0,506.14146373,No,0,3,0,0,50.025037556,2237.3474277,0
VLID_110,Crime 2,3115.2647975,0,2620.6819399,4,0,2,4,122.35196099,2,1,218.61575179,5,No,3,44.444444444,0,0.006916996,29.718875502,380.000038,0,0,14,338.09792141,0,188.42282121,0,3,4,19.75472692,9.2366661726,1253.5668033,Yes,6.8124515604,2,2,2704.8233837,54.848940077,1344.5378151,3
VLID_111,Crime 1,11.845113299,,,6,1,2,1,36.929538554,0,1,166.1097852,4,No,0,0,0,0.0144927536,,260.000026,0,4,5,,0,0,,0,1,,,67.848708935,No,,1,0,,,0,7
VLID_112,Crime 2,127.92722362,0,,5,0,5,3,73.887341197,0,1,201.43198091,6,No,0,11.111111111,186.66666667,0.0108695652,,144.0000144,0,4,5,327.93911063,0,43.77550566,,0,1,20.085133472,0.6081542994,71.579562516,Yes,17.679746944,1,0,78.020005843,54.692038057,54.754933648,6
VLID_113,Crime 2,,,,1,,4,3,73.415157739,1,1,,9,No,,,,,,132.0000132,,2,5,,,,,,,,,,Yes,,2,,,,,
