@relation 'Crime1Train_trainData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 4 -E 4-Sweka.attributeSelection.BestFirst -D 2 -N 10'

@attribute mvar_2 numeric
@attribute mvar_12 numeric
@attribute mvar_17 numeric
@attribute mvar_25 numeric
@attribute mvar_32 numeric
@attribute mvar_40 numeric
@attribute output {0,1,2}

@data
?,?,?,30,0,0,0
?,?,?,0,0,0,0
0,159.427208,0,0,4.2261,2,0
0,340.811456,2666.666667,30,0,?,1
0,258.711217,0,30,56.127886,6,0
?,?,?,0,0,8,0
0,248.210024,346.666667,30,625.991008,9,1
0,117.422434,266.666667,0,1347.399422,2,0
?,28.639618,0,0,0,14,0
0,242.4821,586.666667,0,1259.872936,15,0
?,142.243437,0,0,158.115556,32,0
?,93.556086,0,0,331.583739,17,0
1,107.875895,66.666667,0,7.032494,1,0
?,59.188544,0,0,0,?,0
?,150.835322,0,0,277.271756,3,0
1,157.5179,240,0,251.485945,0,0
?,210.023866,0,30,0,6,1
?,95.465394,0,0,0,20,0
0,145.107399,0,30,0,28,0
?,?,?,?,?,10,0
0,125.059666,0,0,2.047017,13,0
?,34.367542,?,0,0,10,0
0,160.381862,0,0,2.080033,5,0
?,?,?,?,?,6,0
0,172.792363,133.333333,0,273.970115,7,0
0,168.019093,66.666667,0,70.754152,10,0
0,194.749403,0,0,2071.548197,5,0
?,69.689737,0,0,72.669104,0,0
0,112.649165,66.666667,0,0.46223,15,0
0,206.205251,0,0,262.579456,23,1
0,90.692124,0,0,444.367773,9,0
1,194.749403,0,30,12.315118,7,0
0,260.620525,?,1,0,0,1
0,177.565633,0,0,363.477585,12,1
?,51.551313,53.333333,0,0,25,0
2,189.02148,165.333333,0,669.506628,15,0
0,199.522673,666.666667,0,88.913174,1,0
?,84.9642,0,0,48.534113,18,0
?,?,?,?,?,?,1
0,184.24821,0,0,66.627102,19,0
0,307.398568,0,30,57.415525,0,1
0,194.749403,0,29,924.59136,6,0
?,?,?,0,0,10,0
?,?,?,?,?,20,0
0,135.560859,0,0,387.777658,0,0
0,168.973747,0,0,49.953818,5,0
0,292.124105,240,30,141.211157,?,1
?,63.00716,0,0,175.944414,?,0
1,145.107399,0,0,15.814857,10,0
0,210.023866,66.666667,0,1270.240087,8,0
?,?,?,?,?,?,0
0,264.439141,0,30,1744.850886,5,1
?,151.789976,0,0,0,7,0
0,147.97136,0,0,30.176993,24,0
0,172.792363,213.333333,0,12.513217,9,0
0,155.608592,0,0,33.808797,0,0
0,203.341289,2933.333333,0,426.869079,2,1
?,246.300716,0,0,0,?,0
?,?,?,?,?,5,0
0,157.5179,0,0,818.641722,9,0
0,280.668258,80,30,6.570264,0,1
0,287.350835,0,30,134.046598,0,1
0,280.668258,0,30,0,?,1
?,?,?,?,?,?,0
?,?,0,?,?,?,0
0,210.97852,0,0,296.190155,27,0
?,?,?,?,?,?,0
?,252.983294,0,30,0,?,0
0,378.042959,6666.666667,30,3448.695398,0,1
1,201.431981,0,0,218.931771,6,0
?,?,?,30,9.310626,9,0
0,193.794749,106.666667,0,615.557825,3,1
0,211.933174,0,0,110.076689,9,0
0,295.942721,160,30,76.267892,3,1
?,188.066826,0,30,0,30,0
0,144.152745,0,0,447.537348,1,0
0,192.840096,80,0,42.029882,4,1
0,336.99284,0,30,1327.259416,?,1
?,124.105012,0,0,6.603281,11,0
0,377.088306,?,30,2489.601897,1,1
0,155.608592,0,0,5.018493,17,0
2,19.093079,0,0,0,23,0
?,?,?,?,?,19,0
?,51.551313,0,0,0,3,0
?,112.649165,0,0,0,4,0
?,190.930788,0,30,0,10,0
0,229.116945,0,0,13713.23108,6,0
0,123.150358,0,0,13.206561,0,0
0,289.260143,80,30,12.876397,1,1
0,223.389022,0,30,411.450419,6,0
?,?,?,0,0,0,0
?,65.871122,0,0,0,19,0
?,48.687351,?,0,0,3,0
0,249.164678,0,30,92.941176,13,0
0,191.885442,0,0,531.762193,15,0
?,65.871122,0,0,6.603281,4,0
0,177.565633,0,0,558.373414,4,0
?,?,0,30,21.064465,6,1
0,193.794749,0,0,454.107612,11,0
0,177.565633,0,0,270.404344,23,0
0,151.789976,0,0,178.156513,10,0
0,?,0,30,7.197576,59,0
0,379.952267,0,30,273.309787,?,0
0,220.52506,0,30,32.257026,5,1
0,252.02864,0,0,1725.668355,7,1
0,278.75895,880,1,424.65698,1,1
0,224.343675,0,1,519.678189,3,0
?,81.145585,0,0,0,1,0
0,197.613365,0,0,694.962275,0,0
?,279.713604,0,29,6.603281,?,0
?,100.238664,0,0,0,13,0
?,132.696897,0,0,0,?,0
?,189.976134,0,0,0,6,0
?,104.057279,0,0,0,23,0
2,125.059666,0,0,5.645805,11,0
0,178.520286,0,0,3.30164,1,0
0,115.513127,0,0,2.212099,10,0
?,107.875895,0,0,0,0,0
0,188.066826,0,0,152.139587,4,0
1,112.649165,0,0,1.188591,5,0
?,?,?,30,0,6,0
?,?,?,0,0,27,0
?,168.973747,0,0,15.682792,1,0
?,119.331742,0,0,362.255978,0,0
?,84.009547,0,0,277.106674,4,0
0,177.565633,0,0,10.994462,5,0
0,?,0,0,522.781731,?,0
?,?,?,0,0,?,0
?,181.384248,0,0,26.578205,6,1
0,170.883055,80,0,71.843694,13,0
?,207.159905,0,30,0,1,0
?,97.374702,0,0,0,3,0
?,?,?,?,?,?,0
0,239.618138,53.333333,30,2.839411,12,0
0,292.124105,0,30,38.761258,2,0
0,204.295943,0,0,0,?,0
?,?,?,0,0,4,0
?,109.785203,0,0,0,1,0
?,32.458234,0,0,0,8,0
0,182.338902,0,0,1112.982958,16,0
0,294.988067,0,30,381.537557,?,0
?,?,?,?,?,1,0
0,181.384248,0,0,60.519067,24,0
0,191.885442,0,0,474.379684,1,0
?,195.704057,0,30,0,15,0
?,146.062053,0,0,0,?,0
?,88.782816,0,0,0,11,0
0,206.205251,0,0,102.747047,13,1
?,?,?,?,?,2,0
?,?,?,0,0,7,0
0,111.694511,0,0,488.873885,7,0
?,69.689737,?,0,0,18,0
?,?,?,0,0,1,0
0,152.74463,200,0,20.9324,6,0
?,?,?,0,0,37,0
0,233.890215,0,30,0,3,1
0,275.894988,0,29,831.980349,1,1
?,?,?,0,0,15,0
0,173.747017,144,0,136.291713,15,0
?,66.825776,0,0,0,?,0
0,226.252983,426.666667,0,629.09455,6,0
0,193.794749,133.333333,30,128.268727,15,0
?,109.785203,?,0,0,?,0
0,107.875895,0,0,59.660641,14,0
1,71.599045,0,0,186.509663,10,0
?,99.28401,?,0,9.508724,8,0
0,231.980907,186.666667,0,335.314593,6,1
0,287.350835,0,30,111.463378,3,1
0,184.24821,0,0,161.153065,3,0
0,283.53222,0,2,168.383657,?,1
?,?,?,0,0,5,0
?,33.412888,?,0,0,4,0
?,94.51074,0,0,93.700553,3,0
?,68.735084,0,0,4.820395,9,0
?,?,?,0,0,24,0
0,202.386635,266.666667,0,38.199979,0,0
0,322.673031,133.333333,30,15.451677,?,1
0,203.341289,0,0,597.795,4,1
?,85.918854,0,0,0.396197,15,0
0,142.243437,?,0,9.145544,5,0
?,105.966587,0,0,0,17,0
?,113.603819,0,0,5.579772,0,0
?,106.921241,?,0,0,1,0
0,102.147971,0,0,35.426601,2,0
?,?,?,?,?,?,0
0,195.704057,80,0,408.544975,12,1
0,211.933174,0,0,307.415732,0,1
0,160.381862,160,0,43.41657,2,0
0,157.5179,0,0,45.496604,10,0
?,?,?,?,?,?,0
0,134.606205,0,0,0.066033,12,0
?,?,?,0,0,?,0
0,232.935561,0,0,161.120049,14,0
0,189.976134,266.666667,0,168.779854,5,0
0,84.9642,120,0,96.407898,11,0
0,253.937948,666.666667,1,536.219407,2,1
0,233.890215,0,0,496.962904,1,1
0,165.155131,0,0,19.941908,4,0
0,?,?,0,1.254623,4,0
0,148.926014,53.333333,0,159.502245,6,0
0,142.243437,0,0,9.772855,6,0
0,185.202864,0,30,110.307804,31,0
0,217.661098,0,30,1.155574,8,0
0,185.202864,0,0,97.695538,0,0
0,291.169451,0,29,405.47445,?,1
0,218.615752,0,30,39.75175,11,1
0,121.24105,0,0,0,40,0
0,195.704057,0,0,87.427436,?,0
0,173.747017,80,0,190.438615,8,0
?,?,?,?,?,17,0
?,36.27685,0,0,0,1,0
?,?,?,?,?,10,0
?,203.341289,0,30,55.599623,3,0
?,243.436754,0,30,0,?,0
0,187.112172,80,0,216.752688,21,0
?,?,?,?,?,4,0
1,84.009547,0,0,346.210006,1,0
0,92.601432,0,0,0.82541,0,0
?,?,?,0,0,?,0
0,205.250597,266.666667,30,1.221607,1,0
0,172.792363,53.6,0,21.922892,20,0
?,?,?,?,?,3,0
0,78.281623,0,0,0,12,0
0,82.100239,80,0,10.036987,3,0
0,294.033413,6293.333333,30,0,0,1
?,123.150358,0,0,47.939818,10,0
0,244.391408,0,0,170.199559,4,1
0,210.023866,266.666667,0,236.166333,0,1
?,35.322196,0,0,171.916412,1,0
?,?,?,0,0,11,0
0,217.661098,0,0,172.774839,6,1
?,?,?,?,?,10,0
?,133.651551,0,0,55.203426,16,0
0,275.894988,0,30,36.318044,1,1
?,?,?,?,?,2,0
0,229.116945,400,0,62.632117,3,1
?,62.052506,?,0,0,?,0
?,189.02148,0,0,0,9,0
0,187.112172,0,29,553.420953,7,1
0,146.062053,0,0,17.53171,9,0
1,138.424821,0,0,55.830738,0,0
?,?,?,?,?,6,0
0,256.801909,133.333333,30,28.856337,14,1
0,148.926014,0,0,26.115975,22,0
0,207.159905,0,0,3.862919,2,1
?,145.107399,0,0,74.551039,26,0
?,?,?,0,0,1,0
?,?,?,0,0,10,0
0,210.97852,373.333333,0,1486.992775,8,0
0,296.897375,200,30,24.465155,2,1
0,152.74463,0,0,104.695015,4,0
?,39.140811,?,0,0,25,0
0,204.295943,0,0,263.933129,4,0
?,?,?,0,0,7,0
?,92.601432,0,0,0,0,0
0,119.331742,0,0,3.235608,25,0
?,53.460621,0,0,0,11,0
0,335.083532,2133.333333,0,2692.751826,0,1
?,?,?,?,?,?,0
?,199.522673,0,0,26.281057,?,0
0,354.176611,0,30,937.005528,4,0
?,168.973747,0,0,685.288468,0,0
?,?,?,?,?,12,0
0,188.066826,0,0,140.715911,0,0
0,302.625298,0,30,168.119526,?,1
?,?,?,0,0,10,0
1,175.656325,0,0,261.456898,30,0
?,?,?,?,?,18,0
0,195.704057,0,0,97.200292,4,0
0,204.295943,266.666667,0,207.937309,0,0
0,230.071599,0,30,64.646118,19,0
0,80.190931,0,0,513.471105,0,0
0,292.124105,0,30,155.14408,18,0
?,135.560859,0,0,0,11,0
0,264.439141,?,30,9.904921,9,0
?,?,?,0,0,8,0
?,173.747017,0,0,0,6,0
?,10.501193,0,0,0,21,0
0,115.513127,0,0,29.153484,11,0
0,117.422434,0,0,0,8,0
0,154.653938,266.666667,0,19.18253,0,0
0,198.568019,0,0,60.915264,2,0
?,230.071599,0,30,51.76972,2,0
0,217.661098,0,0,259.905127,0,1
0,175.656325,0,0,6.834395,?,0
0,262.529833,0,30,0,8,1
?,?,?,?,?,?,0
0,205.250597,0,0,47.675686,3,0
1,169.928401,0,30,17.564727,4,0
?,?,?,?,?,10,0
0,206.205251,373.333333,1,351.162466,?,0
0,212.887828,0,30,49.557621,7,0
?,?,?,?,?,?,0
?,?,?,0,0,1,0
0,163.245823,0,0,2.146066,6,0
0,113.603819,0,0,133.551352,7,0
0,179.47494,0,0,179.609234,?,0
1,253.937948,0,30,134.145647,12,0
0,222.434368,533.333333,0,2747.856204,5,1
0,172.792363,80,0,18.092989,17,0
1,143.198091,0,0,1417.559279,7,0
0,222.434368,66.666667,0,62.500052,7,1
0,219.570406,0,0,390.848183,0,1
0,225.298329,0,30,29.186501,23,0
?,150.835322,0,0,0,6,0
?,?,?,?,?,?,0
0,229.116945,0,0,230.751643,28,0
?,?,?,?,?,?,0
0,51.551313,0,0,0,1,0
0,173.747017,80,30,210.281473,12,0
0,221.479714,93.333333,0,389.791658,4,1
0,139.379475,0,0,1154.121396,9,0
?,?,?,0,0,?,0
?,120.286396,0,0,50.812245,1,0
?,?,?,?,?,?,0
0,220.52506,80,0,218.997804,2,1
0,195.704057,0,0,883.28784,7,0
?,87.828162,0,0,0,7,0
?,?,?,?,?,16,0
0,196.658711,80,0,145.074076,15,0
?,?,?,0,0,4,0
0,217.661098,0,0,3551.079265,13,1
0,108.830549,80,0,50.085884,29,0
0,129.832936,0,0,54.146902,6,0
?,70.644391,?,0,0,8,0
0,236.754177,0,29,951.994975,3,0
0,128.878282,0,0,82.045762,6,0
0,125.059666,0,0,0.132066,1,0
?,70.644391,0,0,0,0,0
?,?,?,?,?,3,0
2,189.02148,0,30,37.803782,6,0
?,190.930788,0,0,17.630759,?,0
0,211.933174,106.666667,0,175.944414,11,0
?,247.25537,0,30,23.936892,6,0
0,189.02148,0,0,127.212202,8,0
?,?,?,?,?,?,0
?,75.417661,0,0,0,10,0
0,206.205251,0,1,0,0,1
?,?,?,?,?,1,0
0,162.29117,0,30,6.273117,15,0
?,?,?,?,?,11,0
?,86.873508,0,0,0,9,0
1,241.527446,0,0,1345.58352,0,0
?,?,?,?,?,0,0
0,179.47494,0,30,14.758332,10,0
0,203.341289,0,0,832.871792,0,0
?,?,?,0,0,11,0
0,335.083532,0,30,1101.196102,0,1
?,?,?,?,?,?,0
?,?,0,?,?,?,0
0,209.069212,933.333333,1,795.464207,4,1
0,236.754177,200,0,906.432338,0,1
0,162.29117,0,0,13.76784,4,0
?,?,?,0,0,23,0
0,175.656325,0,0,129.358268,12,0
0,103.102625,0,0,0,7,0
?,?,?,?,?,1,1
?,?,?,?,?,?,0
0,317.899761,0,30,3121.866021,2,1
0,224.343675,453.333333,30,375.165392,18,0
4,84.009547,106.666667,0,16.277087,24,0
0,226.252983,0,30,20.635252,2,1
?,?,?,?,?,13,1
?,?,?,?,?,17,0
3,184.24821,106.666667,0,66.065823,6,0
?,144.152745,0,0,0,?,0
?,?,?,?,?,24,0
0,201.431981,0,0,182.052448,6,0
0,88.782816,0,0,21.031449,1,0
0,116.46778,0,0,10.070003,2,0
0,230.071599,80.266667,30,30.210009,21,0
?,?,?,?,?,?,0
?,227.207637,0,30,0,?,0
0,344.630072,0,30,2644.580894,2,1
0,252.02864,0,30,930.864477,5,1
0,210.97852,80.266667,0,5.810887,0,1
0,183.293556,80,0,30.309058,3,0
0,253.937948,560,0,1263.273626,9,1
1,101.193317,0,0,46.057883,17,0
?,128.878282,0,0,0,6,0
0,235.799523,200,0,174.656774,0,1
0,134.606205,0,0,24.663253,15,0
1,119.331742,32,0,8.386166,0,0
0,273.98568,0,30,156.827916,3,1
0,203.341289,0,0,1726.031536,6,0
?,?,?,?,?,?,0
?,160.381862,0,2,0,25,0
?,?,?,?,?,?,0
0,167.064439,0,0,434.859049,5,0
0,204.295943,0,0,44.506112,20,0
0,279.713604,400,30,307.217633,2,1
0,170.883055,0,0,163.299131,10,0
0,240.572792,960,1,281.332773,2,1
?,?,?,?,?,?,0
?,69.689737,?,0,0,24,0
?,?,?,?,?,?,0
0,213.842482,0,0,382.362968,9,1
0,141.288783,0,0,0.36318,1,0
?,?,0,0,0,0,0
0,139.379475,0,0,72.636087,4,0
0,230.071599,0,30,47.774736,1,1
?,?,?,?,?,0,0
0,237.708831,0,30,101.789572,17,0
0,194.749403,0,0,242.373417,19,0
0,227.207637,0,0,1447.340075,1,0
?,?,?,?,?,?,0
?,?,?,?,?,2,0
?,149.880668,0,0,349.346564,0,0
0,184.24821,80,0,80.460975,4,0
?,?,?,?,?,18,0
0,134.606205,0,1,41.930832,10,0
0,210.023866,173.333333,0,626.915467,2,0
0,225.298329,53.6,30,0.561279,1,0
?,?,?,0,0,16,0
0,257.756563,2400,1,444.070625,0,1
0,223.389022,0,30,1.320656,?,0
?,?,?,0,0,1,0
0,225.298329,0,0,170.859888,1,1
0,282.577566,0,29,3033.216978,1,1
?,138.424821,0,0,0,0,0
?,?,?,30,9.904921,23,0
?,151.789976,0,0,0,10,0
?,?,?,0,0,0,0
?,?,0,0,0,2,0
?,?,?,?,?,17,0
2,200.477327,0,0,33.544666,2,0
0,189.02148,0,0,1829.042714,0,0
0,151.789976,0,0,94.294848,28,0
?,118.377088,0,0,102.086719,?,0
?,?,?,0,0,9,0
0,291.169451,?,30,0,10,2
?,34.367542,0,0,0,12,0
?,?,?,?,?,?,0
?,14.319809,0,0,64.183888,22,0
0,269.212411,0,30,507.032907,7,1
0,209.069212,0,0,447.966561,0,1
1,161.336516,0,0,252.707551,9,0
?,110.739857,0,0,0,?,0
0,216.706444,0,0,203.61216,4,1
0,309.307876,693.333333,30,224.577576,1,1
0,262.529833,0,2,458.06958,0,1
0,210.97852,?,2,123.877546,8,0
1,234.844869,0,2,207.871276,13,0
1,181.384248,0,0,1.683837,0,0
0,238.663485,0,0,711.43746,9,1
?,?,0,0,0,6,0
0,254.892601,133.333333,30,14.59325,0,0
0,169.928401,80,0,649.333605,13,0
0,109.785203,0,0,4.853411,8,0
0,209.069212,0,0,532.125373,3,1
?,147.016706,0,0,0,31,0
0,142.243437,10400,0,0,?,0
0,198.568019,0,0,143.885486,5,0
?,50.596659,0,0,0,16,0
?,167.064439,0,0,0,6,0
0,150.835322,0,0,19.380629,0,0
?,99.28401,?,0,0,10,0
0,180.429594,0,0,1640.684133,4,0
0,308.353222,400,30,86.56901,?,1
?,75.417661,0,0,69.334447,1,0
?,?,?,0,0,0,0
?,?,?,?,?,?,0
?,107.875895,0,0,77.456482,7,0
0,198.568019,0,0,523.80524,21,0
0,188.066826,0,0,171.421166,24,0
?,?,?,?,?,?,0
?,?,?,0,0,?,0
0,231.026253,0,0,608.98756,12,0
?,22.911695,0,0,0,1,0
0,196.658711,0,30,27.403615,6,0
?,63.961814,?,0,0,?,0
0,170.883055,0,0,834.423563,42,0
0,218.615752,0,30,1.452722,12,0
?,-11.455847,0,0,139.593354,15,0
0,241.527446,0,30,145.371224,2,1
?,99.28401,0,0,0,26,0
?,28.639618,0,0,0,2,0
?,?,?,?,?,?,0
?,?,?,?,?,10,0
0,142.243437,0,0,146.889979,1,0
?,119.331742,0,0,11.852889,?,0
?,64.916468,?,0,0,6,0
?,13.365155,0,0,0,12,0
0,184.24821,106.666667,0,277.403821,4,0
0,241.527446,80,0,1321.745676,4,1
0,156.563246,0,0,0.396197,14,0
0,197.613365,266.666667,0,385.532542,12,1
0,169.928401,0,0,48.897293,3,1
?,?,?,?,?,4,0
?,?,?,?,?,15,0
?,121.24105,0,0,16.508202,17,0
0,165.155131,133.333333,0,84.224845,2,0
?,44.868735,0,0,11.29161,4,0
?,202.386635,0,0,713.220346,1,0
?,?,?,0,0,9,0
0,286.396181,0,1,1087.956524,?,1
0,209.069212,133.333333,30,100.105735,0,0
0,201.431981,133.333333,0,21.790826,?,1
1,217.661098,0,30,0,?,0
0,199.522673,133.333333,0,170.661789,10,1
?,100.238664,0,0,0,0,0
0,198.568019,0,0,51.571622,5,0
?,249.164678,0,30,30.441124,1,0
?,?,?,?,?,?,0
?,68.735084,0,0,0,7,0
0,91.646778,?,0,7.428691,0,0
?,?,?,0,0,10,0
?,79.236277,0,0,115.491379,6,0
?,123.150358,?,0,185.816318,0,0
0,261.575179,133.333333,30,22.814335,1,1
?,?,?,0,0,2,0
0,123.150358,26.666667,0,244.750598,6,0
?,56.324582,0,0,0,19,0
?,?,?,0,0,1,0
?,?,?,?,?,7,0
0,242.4821,0,30,26.413123,1,1
0,194.749403,0,0,541.435999,3,0
?,158.472554,0,0,543.483016,1,0
1,127.923628,0,0,159.73336,14,0
?,?,?,0,0,1,0
?,196.658711,0,0,187.599204,1,1
?,?,?,30,2.443214,28,0
0,254.892601,1066.666667,1,1467.149917,0,1
?,226.252983,0,30,28.691255,10,0
0,171.837709,0,30,3.928952,59,0
?,?,?,0,0,34,0
?,58.23389,0,0,0,0,0
0,249.164678,0,30,2.47623,0,1
0,205.250597,0,30,14.197053,8,0
0,?,?,30,50.515097,4,1
0,189.976134,200,0,115.194231,4,0
0,197.613365,240,0,248.085255,0,0
?,?,0,?,?,?,1
0,200.477327,66.666667,0,759.410294,39,0
0,248.210024,0,29,878.005215,?,0
0,53.460621,0,0,7.06551,1,0
0,67.78043,0,0,0,2,0
?,231.026253,0,30,111.925607,8,0
0,174.701671,0,0,23.04545,8,0
?,?,?,0,0,?,0
0,?,0,30,3.202591,12,0
0,104.057279,0,0,16.508202,16,0
?,51.551313,0,0,0,11,0
?,?,?,0,0,8,0
?,40.095465,?,0,0,17,0
?,?,?,0,0,9,0
0,?,?,1,0,15,0
0,308.353222,1866.666667,30,241.019745,0,1
0,195.704057,0,0,72.107825,14,0
0,192.840096,0,0,83.795632,8,0
0,213.842482,0,0,116.415838,1,0
0,159.427208,0,0,11.522725,13,0
0,169.928401,0,0,16.508202,2,0
0,94.51074,0,0,0,0,0
0,5.727924,?,0,0,6,0
1,36.27685,0,0,18.885383,4,0
?,?,?,?,?,?,0
?,?,?,?,?,?,0
0,228.162291,0,0,130.018597,10,0
?,59.188544,?,0,0,0,0
1,203.341289,0,0,2612.389901,0,0
?,?,?,0,0,1,0
0,63.00716,0,0,0.165082,3,0
?,?,?,?,?,3,0
?,?,?,?,?,?,0
?,114.558473,0,0,0,4,0
0,210.97852,106.666667,0,146.757913,4,1
0,214.797136,0,0,0,?,0
?,?,?,0,0,27,0
0,249.164678,80,0,211.998326,19,0
0,168.019093,0,0,7.52774,6,0
0,160.381862,80,0,150.851947,30,0
0,123.150358,0,0,37.506634,2,0
?,?,?,0,0,8,0
?,97.374702,?,0,0,4,0
0,153.699284,0,0,270.635459,1,0
0,246.300716,0,30,0,39,0
